node_1	node_2	number	step_1	step_2	dx	area
1	2	1	0	0	0.002191721	0.03830142
2	3	1	0	0	0.002520479	0.053105232
3	4	1	0	0	0.002898551	0.070129616
4	5	1	0	0	0.003333333	0.089707657
5	6	1	0	0	0.003833333	0.112222404
6	7	1	0	0	0.004408333	0.138114364
7	8	1	0	0	0.005069583	0.167890117
8	9	1	0	0	0.005830021	0.202132234
9	10	1	0	0	0.006704524	0.241510667
10	11	1	0	0	0.007710203	0.286795866
11	12	1	0	0	0.008866733	0.338873845
12	13	1	0	0	0.010196743	0.398763521
13	14	1	0	0	0.011726254	0.467636648
14	15	1	0	0	0.013485192	0.546840743
15	16	1	0	0	0.015507971	0.637925454
16	17	1	0	0	0.017834167	0.742672871
17	18	1	0	0	0.020509292	0.8631324
18	19	1	0	0	0.023585686	1.001660859
19	20	1	0	0	0.027123539	1.160968586
20	21	1	0	0	0.03119207	1.344172473
21	22	1	0	0	0.03587088	1.554856943
22	23	1	0	0	0.041251512	1.797144083
23	24	1	0	0	0.047439239	2.075774294
24	25	1	0	0	0.054555125	2.396199037
25	26	1	0	0	0.062738393	2.764687492
26	27	1	0	0	0.072149152	3.188449214
27	28	1	0	0	0.082971525	3.675775195
28	29	1	0	0	0.095417254	4.236200073
29	30	1	0	0	0.109729842	4.880688683
30	31	1	0	0	0.126189318	5.621850585
31	32	1	0	0	0.145117716	6.474186771
32	33	1	0	0	0.166885374	7.454373386
33	34	1	0	0	0.19191818	8.581587992
34	35	1	0	0	0.220705907	9.87788479
35	36	1	0	0	0.253811793	11.36862611
36	37	1	0	0	0.291883561	13.08297862
37	38	1	0	0	0.335666096	15.05448401
38	39	1	0	0	0.38601601	17.32171521
39	40	1	0	0	0.443918411	19.9290311
40	41	1	0	0	0.510506173	22.92744436
41	42	1	0	0	0.587082099	26.37561961
42	43	1	0	0	0.675144414	30.34102115
43	44	1	0	0	0.776416076	34.90123292
44	45	1	0	0	0.892878487	40.14547646
45	46	1	0	0	1.026810261	46.17635653
46	47	1	0	0	1.1808318	53.11186861
47	48	1	0	0	1.35795657	61.0877075
48	49	1	0	0	1.561650055	70.25992222
49	50	1	0	0	1.795897563	80.80796915
50	51	1	0	0	2.065282198	92.93822312
