x	y	z	number	x_step	y_step	z_step	vol	k	phi	n	alpha (1/P)	Sr	Water_source	Q (vol/t)	Gas_source	F (mass/t)	alpha_L	P	S	X_A	X_B	C_A	C_B	C_C
0	0	0.99375	1	0	0	0	1.00E+20	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.75	1	0	0	0	0
0	0	0.98125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.96875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.95625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.94375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.93125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.91875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	1	0	0
0	0	0.90625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	1	0	0
0	0	0.89375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.88125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.86875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.85625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.84375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.83125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
