x	y	z	number	x_step	y_step	z_step	vol	k	phi	n	alpha (1/P)	Sr	Water_source	Q (vol/t)	Gas_source	F (mass/t)	alpha_L	P	S	X_A	X_B	C_A	C_B	C_C
0.005	0	0	1	0	0	0	0.00011674	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	1.00E-04	0	101300	0.5	1	0	0	0	0
0.007191721	0	0	1	0	0	0	0.000107682	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.0097122	0	0	1	0	0	0	0.000166953	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.01261075	0	0	1	0	0	0	0.000249022	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.015944084	0	0	1	0	0	0	0.000361791	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	1	0	0
0.019777417	0	0	1	0	0	0	0.000515798	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	1	0	0
0.02418575	0	0	1	0	0	0	0.000725071	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	1	0	0
0.029255334	0	0	1	0	0	0	0.001008274	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	1	0	0
0.035085355	0	0	1	0	0	0	0.001390215	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	1	0	0
0.041789879	0	0	1	0	0	0	0.001903849	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.049500081	0	0	1	0	0	0	0.002592922	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.058366814	0	0	1	0	0	0	0.003515483	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.068563557	0	0	1	0	0	0	0.004748522	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.080289811	0	0	1	0	0	0	0.006394111	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.093775004	0	0	1	0	0	0	0.00858753	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.109282975	0	0	1	0	0	0	0.011508025	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.127117142	0	0	1	0	0	0	0.015393032	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.147626434	0	0	1	0	0	0	0.020557004	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.17121212	0	0	1	0	0	0	0.027416316	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.198335659	0	0	1	0	0	0	0.036522206	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.229527728	0	0	1	0	0	0	0.048604366	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.265398608	0	0	1	0	0	0	0.064628584	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.30665012	0	0	1	0	0	0	0.08587301	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.354089359	0	0	1	0	0	0	0.114029018	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.408644484	0	0	1	0	0	0	0.151334634	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.471382877	0	0	1	0	0	0	0.200751	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.543532029	0	0	1	0	0	0	0.266195785	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.626503555	0	0	1	0	0	0	0.352851902	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.721920809	0	0	1	0	0	0	0.467575813	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.831650651	0	0	1	0	0	0	0.619437562	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
0.957839969	0	0	1	0	0	0	0.820435006	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
1.102957685	0	0	1	0	0	0	1.086438451	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
1.269843059	0	0	1	0	0	0	1.43843998	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
1.461761238	0	0	1	0	0	0	1.904205772	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
1.682467145	0	0	1	0	0	0	2.520461366	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
1.936278937	0	0	1	0	0	0	3.335781774	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
2.228162499	0	0	1	0	0	0	4.414413756	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
2.563828594	0	0	1	0	0	0	5.841330907	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
2.949844604	0	0	1	0	0	0	7.728919146	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
3.393763016	0	0	1	0	0	0	10.22581845	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
3.904269189	0	0	1	0	0	0	13.5286162	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
4.491351288	0	0	1	0	0	0	17.89731193	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
5.166495702	0	0	1	0	0	0	23.67576957	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
5.942911778	0	0	1	0	0	0	31.318766	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
6.835790265	0	0	1	0	0	0	41.42776287	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
7.862600526	0	0	1	0	0	0	54.79821547	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
9.043432325	0	0	1	0	0	0	72.4821389	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
10.4013889	0	0	1	0	0	0	95.87085246	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
11.96303895	0	0	1	0	0	0	126.8044097	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
13.75893651	0	0	1	0	0	0	167.7163203	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
15.82421871	0	0	1	0	0	0	1.00E+20	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.5	1	0	0	0	0
